feature,feature_index
std_dev RIGHT_FRONT_PAW-LEFT_REAR_PAW,feature_481
max RIGHT_FRONT_PAW-MID_TAIL,feature_482
mean RIGHT_FRONT_PAW-MID_TAIL,feature_483
median RIGHT_FRONT_PAW-MID_TAIL,feature_484
min RIGHT_FRONT_PAW-MID_TAIL,feature_485
std_dev RIGHT_FRONT_PAW-MID_TAIL,feature_486
max RIGHT_FRONT_PAW-RIGHT_REAR_PAW,feature_487
mean RIGHT_FRONT_PAW-RIGHT_REAR_PAW,feature_488
median RIGHT_FRONT_PAW-RIGHT_REAR_PAW,feature_489
min RIGHT_FRONT_PAW-RIGHT_REAR_PAW,feature_490
std_dev RIGHT_FRONT_PAW-RIGHT_REAR_PAW,feature_491
max RIGHT_FRONT_PAW-TIP_TAIL,feature_492
mean RIGHT_FRONT_PAW-TIP_TAIL,feature_493
median RIGHT_FRONT_PAW-TIP_TAIL,feature_494
min RIGHT_FRONT_PAW-TIP_TAIL,feature_495
std_dev RIGHT_FRONT_PAW-TIP_TAIL,feature_496
max RIGHT_REAR_PAW-BASE_TAIL,feature_497
mean RIGHT_REAR_PAW-BASE_TAIL,feature_498
median RIGHT_REAR_PAW-BASE_TAIL,feature_499
min RIGHT_REAR_PAW-BASE_TAIL,feature_500
std_dev RIGHT_REAR_PAW-BASE_TAIL,feature_501
max RIGHT_REAR_PAW-MID_TAIL,feature_502
mean RIGHT_REAR_PAW-MID_TAIL,feature_503
median RIGHT_REAR_PAW-MID_TAIL,feature_504
min RIGHT_REAR_PAW-MID_TAIL,feature_505
std_dev RIGHT_REAR_PAW-MID_TAIL,feature_506
max RIGHT_REAR_PAW-TIP_TAIL,feature_507
mean RIGHT_REAR_PAW-TIP_TAIL,feature_508
median RIGHT_REAR_PAW-TIP_TAIL,feature_509
min RIGHT_REAR_PAW-TIP_TAIL,feature_510
std_dev RIGHT_REAR_PAW-TIP_TAIL,feature_511
max BASE_NECK speed,feature_512
mean BASE_NECK speed,feature_513
median BASE_NECK speed,feature_514
min BASE_NECK speed,feature_515
std_dev BASE_NECK speed,feature_516
max BASE_TAIL speed,feature_517
mean BASE_TAIL speed,feature_518
median BASE_TAIL speed,feature_519
min BASE_TAIL speed,feature_520
std_dev BASE_TAIL speed,feature_521
max CENTER_SPINE speed,feature_522
mean CENTER_SPINE speed,feature_523
median CENTER_SPINE speed,feature_524
min CENTER_SPINE speed,feature_525
std_dev CENTER_SPINE speed,feature_526
max LEFT_EAR speed,feature_527
mean LEFT_EAR speed,feature_528
median LEFT_EAR speed,feature_529
min LEFT_EAR speed,feature_530
std_dev LEFT_EAR speed,feature_531
max LEFT_FRONT_PAW speed,feature_532
mean LEFT_FRONT_PAW speed,feature_533
median LEFT_FRONT_PAW speed,feature_534
min LEFT_FRONT_PAW speed,feature_535
std_dev LEFT_FRONT_PAW speed,feature_536
max LEFT_REAR_PAW speed,feature_537
mean LEFT_REAR_PAW speed,feature_538
median LEFT_REAR_PAW speed,feature_539
min LEFT_REAR_PAW speed,feature_540
